ID,Taxonrich,logTN,ELEV,longitude,logprecip,logAREA,logCL,logHCO3,logSO4,SED,STRMTEMP,Percent.AGT,Percent.URB,Percent.Canopy,Riparian.Disturb.
1,42,2.439332694,2149,-104.904722,-0.514164525,4.111693201,6.156131169,7.510238289,5.685618504,40,18.5,0.34,0.8,0.5,0.33335
2,26,2.891537458,760,-101.78264,-0.825536369,4.937992914,5.731073335,8.365002157,6.002157177,29.52380952,27,21.22,0.46,0.681818182,1.5
3,58,1.897627091,58,-121.978611,0.98170387,6.171804976,3.815512105,6.291311699,4.163559631,11.42857143,18.1,0,0.24,0.090909091,0
4,32,2.64246452,1719,-108.826667,-0.452556716,7.888537031,8.357798787,7.663746192,6.764692896,18.0952381,8.1,1.51,0.05,0.227272727,0
5,55,2.252853032,1146,-117.531667,0.156148682,3.156574799,3.063390922,7.678875273,5.563370321,16.19047619,13.9,0.72,0.02,0.818181818,0
6,84,1.748188026,1256,-122.32812,0.330022913,2.740840024,2.028148247,6.032628938,1.30833282,16.19047619,9.7,0.01,0.01,0,0
7,57,2.093421685,2735,-107.73968,-0.468404908,0.896088025,2.939161922,7.804780415,5.759847699,13.33333333,10.5,1.91,0,0,0.030304546
8,26,2.555094448,1255,-119.140556,-1.052683357,3.316002536,6.256133845,7.166319872,5.38357721,70.47619048,28,0,0,0.727272727,1.5
9,55,2.403120521,2012,-115.086944,-0.68319685,1.190887565,3.660994251,6.029684987,3.292126287,12.38095238,14.6,0,0,0.954545455,1.5
10,74,2.167317336,753,-122.13771,0.647103242,1.235471471,3.433987204,5.353412975,1.871802177,20,7.8,0,0,0,0
11,44,2.547774704,1532,-107.378611,-0.723606388,6.178607794,3.660994251,8.21066477,8.760217798,16.19047619,14,0.95,0,0.636363636,0.4091
12,54,2.462397998,2751,-106.07704,-0.479650006,2.536074936,3.676300672,6.995873293,4.018183201,25.71428571,18.8,0,0.26,1,0.613645455
13,59,1.633468456,419,-122.15535,0.800655388,5.239681391,3.471966453,5.979195054,3.46885603,27,11.9,0.11,0.26,0,0
14,31,3.06669855,865,-100.86819,-0.721546655,4.548494009,4.674696249,8.484926165,4.238444906,100,21.4,19.08,0.07,1,1.00005
15,60,1.995635195,924,-123.454722,0.423305026,3.133753571,3.443618098,6.444612002,4.223909767,5.714285714,16.5,0,0.05,0,0
16,48,2.075546962,1397,-111.03606,-0.400477567,4.609361391,4.548599834,8.182400704,5.321545493,12.38095238,16.7,0,0.04,0.272727273,0.090913636
17,45,1.806179973,1761,-122.028889,0.173953307,2.574899688,1.987874348,6.219818501,2.785011242,58.0952381,12.4,0,0.02,0.863636364,1.5
18,51,1.838849091,1853,-114.80021,-0.350976923,5.128181265,4.198704578,7.3881819,5.888323788,25.71428571,25.5,0,0.02,0.363636364,0
19,28,2.937517891,1042,-103.6309,-0.923818998,7.70852292,6.866516531,8.117760899,10.23679407,75.23809524,20.5,2.6,0.01,0.5,1.5
20,45,2.447158031,1987,-108.67407,-0.657780037,4.748750914,5.04407007,8.55633294,8.369017956,74.28571429,15.5,0,0,1,1.23485
21,43,1.880813592,1921,-116.0938,0.354873322,3.666378189,1.131402111,4.599081689,2.415913778,27.61904762,11,0,0,0.363636364,0
22,42,2.320146286,1416,-109.75453,-0.629233855,0.678033543,1.435084525,8.173440114,5.782593655,39.70588235,2,0,0,0.181818182,1.431818182
23,36,2.187520722,1124,-109.03573,-0.802962047,6.117722679,9.072364833,8.022736242,10.87093707,100,11.8,9.01,0,1,0.863636364
24,49,2.357934847,1586,-118.715833,-0.830113036,2.209372711,5.346631227,7.395184325,6.261873291,35.23809524,16,0,0,0.590909091,1.5
25,47,2.390935108,1532,-117.485278,-1.055552799,3.798630318,6.334699579,6.86321283,6.297845697,61.90476191,13,0.83,0,0.772727273,1.5
26,43,2.071882006,1864,-115.703611,-0.572701027,2.810606789,5.102302483,8.478510676,5.757323242,29.80769231,12.4,0,0,0.863636364,1.5
27,82,1.968482948,1740,-118.72987,-0.035627178,1.091923301,2.066862759,6.533805701,3.202746443,10.47619048,13.5,0,0,0.181818182,0
28,27,1.819543936,772,-120.92748,0.614103973,4.122283931,2.066862759,5.331844536,4.613138356,4.761904762,8.8,0,0,0.045454546,0
29,56,1.812913357,1465,-121.166111,0.008959741,1.838961071,2.341805806,5.861210635,3.42751469,5.769230769,6.9,0,0,0,0
30,55,1.531478917,825,-121.495278,0.97418221,1.93441577,2.163323026,4.366464393,2.884800713,0,11.4,0,0,0.045454546,0
31,54,2.296665189,2250,-110.199722,-0.49265832,5.703048872,3.299533728,8.289956362,5.248601774,19.04761905,24.2,6.1,0,0.863636364,0.765177273
32,33,2.84757266,1818,-114.1774,-0.820980552,6.035170379,7.724800096,8.355190364,6.419994928,100,16.6,0.06,0,1,1.5
33,19,3.74358815,232,-121.101389,-0.755022584,3.331847304,5.433722004,8.345652894,6.045005314,97.89473684,5.5,98.24,0.89,0.681818182,1.06672
34,56,2.856124443,129,-120.193611,-0.772190388,3.666889436,7.475169154,8.513365877,8.45209985,13,23.7,3.16,0.71,0.727272727,0
35,34,3.30706795,657,-99.3655,-0.505838082,6.307150816,6.946687489,8.698141139,8.57975476,74.03846154,25.5,74.59,0.47,0.045454546,0.204545455
36,43,2.584331223,169,-123.45342,1.126227456,1.255616037,3.887730313,6.135436488,3.122364924,14.28571429,9.2,0.05,0.08,0,0
37,61,2.322219295,75,-123.58942,0.753771802,1.788420568,4.970507503,6.202768577,3.860729711,65.71428571,17.5,0,0.03,0.272727273,0
38,51,1.924279286,1225,-118.72535,-0.350976923,2.242835089,2.541601993,6.977623126,3.828641396,22.85714286,19.4,0,0.01,0,0
39,56,1.518513941,926,-120.9786,-0.220646671,3.631779862,2.778819272,6.342837711,1.193922468,37.14285714,8.5,0,0.01,0,0.060609091
40,55,2.143014801,2427,-115.085,0.108854405,0.457424847,1.568615918,6.042359637,2.240709689,20,10.1,0,0,0.083333333,0
